"Year","Cohort","x","B","PY"
1897,1856,41,1706.34,14221.96
1897,1857,39,2200.91,15217.14
1897,1857,40,2028.08,14613.81
1897,1858,38,2562.13,16356.5
1897,1858,39,2416.17,16302.76
1897,1859,37,2889.63,16711.23
1897,1859,38,2679.23,16622.64
1897,1860,36,2948.62,16580.6
1897,1860,37,2945.42,16702.66
1897,1861,35,2855.38,15378.01
1897,1861,36,2852.84,15874.14
1897,1862,34,3145.16,16552.07
1897,1862,35,3108.08,16558.52
1897,1863,33,3361.52,16908.75
1897,1863,34,3307.27,17217.44
1897,1864,32,3440.28,17086.63
1897,1864,33,3568.03,17791.59
1897,1865,31,3432.37,17021.86
1897,1865,32,3475.44,17232.48
1897,1866,30,3492.71,16972.03
1897,1866,31,3605.84,17826.23
1897,1867,29,3152.32,15834.29
1897,1867,30,3355.85,16358.96
1897,1868,28,2770.71,14027.76
1897,1868,29,2959.31,14969.13
1897,1869,27,3096.97,16044.81
1897,1869,28,3125.58,15906.21
1897,1870,26,3121.32,16394.09
1897,1870,27,3186.55,16624.55
1897,1871,25,3102.33,17807.38
1897,1871,26,3343.95,17900.5
1897,1872,24,2857.8,17531.38
1897,1872,25,3033.02,17878.64
1897,1873,23,2606.61,18553.37
1897,1873,24,2924.9,18637.15
1897,1874,22,2324.64,18959.91
1897,1874,23,2565.62,19166.32
1897,1875,21,1887.8,19983.94
1897,1875,22,2312.18,20239.86
1897,1876,20,1422.54,20537.38
1897,1876,21,1774.04,20733.01
1897,1877,19,912.41,21931.71
1897,1877,20,1320.64,22047.47
1897,1878,18,495.72,21734.59
1897,1878,19,757.01,21982.62
1897,1879,17,233.5,23483.71
1897,1879,18,415.05,23264.85
1897,1880,16,77.28,22694.62
1897,1880,17,168.55,23507.92
1897,1881,15,11.3,23298.21
1897,1881,16,45.21,23360.31
1897,1882,14,1.67,23564.59
1897,1882,15,6.47,24584.58
1897,1883,13,0.82,24312.32
1897,1883,14,1.29,24563.21
1897,1884,12,0,25501.01
1897,1884,13,0.17,25924.87
1897,1885,12,0,25708.1
1898,NA,12,0,0
1898,NA,55,0,0
1898,1842,55,0,11905.5
1898,1843,54,0,11734.33
1898,1843,55,0,11647.17
1898,1844,53,0,12519.83
1898,1844,54,0,12419
1898,1845,52,0.26,12125.5
1898,1845,53,0,12031.17
1898,1846,51,1.87,11370.66
1898,1846,52,0.73,11291.67
1898,1847,50,5,11776.16
1898,1847,51,3.07,11693.34
1898,1848,49,12.88,12600.08
1898,1848,50,6.86,12525.34
1898,1849,48,36.53,13608
1898,1849,49,18.76,13530.09
1898,1850,47,95.38,13200.42
1898,1850,48,48.52,13112.5
1898,1851,46,203.47,13050.21
1898,1851,47,127.12,13135.03
1898,1852,45,329.11,12289.69
1898,1852,46,248.45,12922.27
1898,1853,44,648.89,13672.34
1898,1853,45,422.45,13241.47
1898,1854,43,1058.66,15021.52
1898,1854,44,819.61,14743.62
1898,1855,42,1278.84,13861.6
1898,1855,43,1092.18,13991.79
1898,1856,41,1606.7,14202.04
1898,1856,42,1403.03,14121.89
1898,1857,40,2013.46,15095.19
1898,1857,41,1738.71,14510.51
1898,1858,39,2368.96,16236.24
1898,1858,40,2245.69,16181.01
1898,1859,38,2679.55,16587.36
1898,1859,39,2478.57,16496.01
1898,1860,37,2827.01,16473.34
1898,1860,38,2748.46,16580.32
1898,1861,36,2776.91,15260.86
1898,1861,37,2756.25,15766.56
1898,1862,35,3132.31,16438.48
1898,1862,36,3046.65,16468.69
1898,1863,34,3286.79,16802.56
1898,1863,35,3295.46,17104.58
1898,1864,33,3413.04,16971.41
1898,1864,34,3487.09,17675.41
1898,1865,32,3516.37,16902.52
1898,1865,33,3478.53,17134.54
1898,1866,31,3446.28,16843.77
1898,1866,32,3691.64,17720.31
1898,1867,30,3152.31,15703.04
1898,1867,31,3305.85,16256.92
1898,1868,29,2873.58,13930.87
1898,1868,30,2989.67,14862.43
1898,1869,28,3243.61,15911.79
1898,1869,29,3262.47,15787.23
1898,1870,27,3269.16,16269.45
1898,1870,28,3344.36,16497.69
1898,1871,26,3341.7,17610.5
1898,1871,27,3525.5,17775.99
1898,1872,25,3145.34,17364.36
1898,1872,26,3301.66,17713.77
1898,1873,24,3010.42,18322.85
1898,1873,25,3255.73,18443.01
1898,1874,23,2714.63,18724.68
1898,1874,24,3000.05,18977.14
1898,1875,22,2444.62,19709.14
1898,1875,23,2768.76,20043.79
1898,1876,21,1991.64,20215.99
1898,1876,22,2374.24,20483.4
1898,1877,20,1538.66,21579.53
1898,1877,21,1948.09,21767
1898,1878,19,997.3,21389.38
1898,1878,20,1357.8,21687.14
1898,1879,18,561.83,23138.15
1898,1879,19,885.55,22942.47
1898,1880,17,253.35,22379.08
1898,1880,18,441.9,23192.86
1898,1881,16,64.82,23025.69
1898,1881,17,175.83,23096.42
1898,1882,15,19.13,23377.42
1898,1882,16,45.93,24326.24
1898,1883,14,5.88,24187.79
1898,1883,15,14.5,24398.96
1898,1884,13,0,25394.13
1898,1884,14,1.04,25797.57
1898,1885,12,0,25706.9
1898,1885,13,0,25611.59
1898,1886,12,0,26693.17
1899,NA,12,0,0
1899,NA,55,0,0
1899,1843,55,0,11599.16
1899,1844,54,0,12366
1899,1844,55,0,12247.34
1899,1845,53,0,11983.33
1899,1845,54,0,11877.5
1899,1846,52,0,11251.16
1899,1846,53,0,11145.17
1899,1847,51,0.49,11652.66
1899,1847,52,0,11565.33
1899,1848,50,2.93,12482
1899,1848,51,1.49,12379.34
1899,1849,49,14.17,13489.71
1899,1849,50,4.98,13390.84
1899,1850,48,34.25,13072.97
1899,1850,49,20.46,12981.05
1899,1851,47,87.75,12945.97
1899,1851,48,44.93,13008.11
1899,1852,46,181.78,12188.73
1899,1852,47,116.14,12802.37
1899,1853,45,379.7,13561.53
1899,1853,46,245.8,13129.32
1899,1854,44,700.15,14897.38
1899,1854,45,490.31,14603.36
1899,1855,43,947.04,13740.21
1899,1855,44,751.83,13871.2
1899,1856,42,1248.34,14102.11
1899,1856,43,1066.15,14000.3
1899,1857,41,1638.98,14988.49
1899,1857,42,1367.62,14388.03
1899,1858,40,2029.11,16114.99
1899,1858,41,1854.9,16042.73
1899,1859,39,2365.57,16460.99
1899,1859,40,2148.7,16359.36
1899,1860,38,2540.27,16352.68
1899,1860,39,2440.75,16431.8
1899,1861,37,2526.44,15157.44
1899,1861,38,2485.77,15639.61
1899,1862,36,2878.34,16349.31
1899,1862,37,2775.74,16327.68
1899,1863,35,3046.44,16692.42
1899,1863,36,3027.6,16962.36
1899,1864,34,3138.96,16860.59
1899,1864,35,3222.75,17514.2
1899,1865,33,3170.21,16806.46
1899,1865,34,3183.68,17018.43
1899,1866,32,3196.66,16743.69
1899,1866,33,3332.57,17592.8
1899,1867,31,3102.52,15605.08
1899,1867,32,3104.21,16120.18
1899,1868,30,2722.61,13831.57
1899,1868,31,2943.97,14739.68
1899,1869,29,3223.18,15792.77
1899,1869,30,3092.28,15647.26
1899,1870,28,3183.42,16145.31
1899,1870,29,3342.94,16390.55
1899,1871,27,3477.34,17488.01
1899,1871,28,3459.91,17624.76
1899,1872,26,3320.34,17204.23
1899,1872,27,3471.82,17550.93
1899,1873,25,3176.1,18131.99
1899,1873,26,3439.77,18244.84
1899,1874,24,3019.54,18539.86
1899,1874,25,3191.08,18743.45
1899,1875,23,2800.15,19518.21
1899,1875,24,3116.04,19810.23
1899,1876,22,2455.8,19972.6
1899,1876,23,2761.35,20208.98
1899,1877,21,2060.71,21305
1899,1877,22,2460.39,21439.52
1899,1878,20,1493.67,21101.86
1899,1878,21,1875.6,21335.39
1899,1879,19,1044.4,22817.53
1899,1879,20,1402.39,22560.43
1899,1880,18,544.36,22079.14
1899,1880,19,868.81,22805.56
1899,1881,17,249.81,22765.58
1899,1881,18,437.49,22733.83
1899,1882,16,69.9,23131.76
1899,1882,17,180.74,23974.61
1899,1883,15,17.03,24026.04
1899,1883,16,46.89,24114.79
1899,1884,14,3.4,25269.43
1899,1884,15,11.68,25568.72
1899,1885,13,0,25610.41
1899,1885,14,0.57,25461.59
1899,1886,12,0,25861.83
1899,1886,13,0,26563.15
1899,1887,12,0,26930.69
1900,NA,12,0,0
1900,NA,55,0,0
1900,1844,55,0,12194.67
